id,word_id,form_type,position,accented
126751,47368,verb_gerund_present,1,разме'ниваясь
126752,47368,verb_gerund_past,1,разменивавшись
126753,47369,verb_gerund_present,1,разме'ряя
126754,47369,verb_gerund_past,1,размеряв
126755,47369,verb_gerund_past,2,размерявши
126756,47372,verb_gerund_present,1,размеча'я
126757,47372,verb_gerund_past,1,размечав
126758,47372,verb_gerund_past,2,размечавши
126759,47373,verb_gerund_present,1,размина'ясь
126760,47373,verb_gerund_past,1,разминавшись
126761,47375,verb_gerund_past,1,размини'ровав
126762,47375,verb_gerund_past,2,разминировавши
126763,47376,verb_gerund_present,1,размножа'я
126764,47376,verb_gerund_past,1,размножав
126765,47376,verb_gerund_past,2,размножавши
126766,47378,verb_gerund_past,1,размонтировав
126767,47378,verb_gerund_past,2,размонтировавши
126768,47379,verb_gerund_present,1,размора'живая
126769,47379,verb_gerund_past,1,размораживав
126770,47379,verb_gerund_past,2,размораживавши
126771,47380,verb_gerund_past,1,разморившись
126772,47380,verb_gerund_past,2,разморя'сь
126773,47384,verb_gerund_present,1,размыва'я
126774,47384,verb_gerund_past,1,размывав
126775,47384,verb_gerund_past,2,размывавши
126776,47388,verb_gerund_present,1,размягча'я
126777,47388,verb_gerund_past,1,размягчав
126778,47388,verb_gerund_past,2,размягчавши
126779,47389,verb_gerund_present,1,размягча'ясь
126780,47389,verb_gerund_past,1,размягчавшись
126781,47391,verb_gerund_present,1,размяка'я
126782,47391,verb_gerund_past,1,размякав
126783,47391,verb_gerund_past,2,размякавши
126784,47392,verb_gerund_past,1,разнежничавшись
126785,47393,verb_gerund_present,1,ра'знясь
126786,47393,verb_gerund_past,1,разнившись
126787,47419,verb_gerund_present,1,разнуздывая
126788,47419,verb_gerund_past,1,разнуздывав
126789,47419,verb_gerund_past,2,разнуздывавши
126790,47420,verb_gerund_past,1,разнюнившись
126791,47420,verb_gerund_past,2,разнюнясь
126792,47421,verb_gerund_present,1,разню'хивая
126793,47421,verb_gerund_past,1,разнюхивав
126794,47421,verb_gerund_past,2,разнюхивавши
126795,47422,verb_gerund_past,1,разобидев
126796,47422,verb_gerund_past,2,разобидевши
126797,47423,verb_gerund_past,1,разоби'девшись
126798,47424,verb_gerund_present,1,разоблача'ясь
126799,47424,verb_gerund_past,1,разоблачавшись
126800,47427,verb_gerund_present,1,разобща'я
126801,47427,verb_gerund_past,1,разобщав
126802,47427,verb_gerund_past,2,разобщавши
126803,47433,verb_gerund_present,1,разогрева'ясь
126804,47433,verb_gerund_past,1,разогревавшись
126805,47435,verb_gerund_past,1,разоде'в
126806,47435,verb_gerund_past,2,разодевши
126807,47436,verb_gerund_past,1,разоде'вшись
126808,47442,verb_gerund_present,1,разоружа'я
126809,47442,verb_gerund_past,1,разоружав
126810,47442,verb_gerund_past,2,разоружавши
126811,47443,verb_gerund_present,1,разоружа'ясь
126812,47443,verb_gerund_past,1,разоружавшись
126813,47444,verb_gerund_past,1,разоспавшись
126814,47445,verb_gerund_past,1,разохавшись
126815,47446,verb_gerund_present,1,разохо'тясь
126816,47446,verb_gerund_past,1,разохотившись
126817,47448,verb_gerund_present,1,разочаро'вываясь
126818,47448,verb_gerund_past,1,разочаровывавшись
126819,47449,verb_gerund_present,1,разра'внивая
126820,47449,verb_gerund_past,1,разравнивав
126821,47449,verb_gerund_past,2,разравнивавши
126822,47450,verb_gerund_present,1,разрежа'я
126823,47450,verb_gerund_past,1,разрежав
126824,47450,verb_gerund_past,2,разрежавши
126825,47451,verb_gerund_present,1,разрежа'ясь
126826,47451,verb_gerund_past,1,разрежавшись
126827,47455,verb_gerund_present,1,райони'руя
126828,47455,verb_gerund_past,1,районировав
126829,47455,verb_gerund_past,2,районировавши
126830,47482,verb_gerund_present,1,раскаля'я
126831,47482,verb_gerund_past,1,раскаляв
126832,47482,verb_gerund_past,2,раскалявши
126833,47483,verb_gerund_present,1,раскаля'ясь
126834,47483,verb_gerund_past,1,раскалявшись
126835,47484,verb_gerund_past,1,раска'ркавшись
126836,47485,verb_gerund_present,1,раска'рмливая
126837,47485,verb_gerund_past,1,раскармливав
126838,47485,verb_gerund_past,2,раскармливавши
126839,47486,verb_gerund_past,1,раскассировав
126840,47486,verb_gerund_past,2,раскассировавши
126841,47487,verb_gerund_present,1,раска'тываясь
126842,47487,verb_gerund_past,1,раскатывавшись
126843,47488,verb_gerund_past,1,раска'шлявшись
126844,47490,verb_gerund_present,1,расквартиро'вывая
126845,47490,verb_gerund_past,1,расквартировывав
126846,47490,verb_gerund_past,2,расквартировывавши
