word_id,aspect,partner,imperative_sg,imperative_pl,past_m,past_f,past_n,past_pl,presfut_conj_id,participle_active_present_id,participle_active_past_id,participle_passive_present_id,participle_passive_past_id
36333,both,,гальванизи'руй,гальванизи'руйте,гальванизи'ровал,гальванизи'ровала,гальванизи'ровало,гальванизи'ровали,9656,79871,79872,79873,79874
36360,imperfective,гаркнуть,га'ркай,га'ркайте,га'ркал,га'ркала,га'ркало,га'ркали,9657,79875,79876,79877,79878
36362,both,,гармонизи'руй,гармонизи'руйте,гармонизи'ровал,гармонизи'ровала,гармонизи'ровало,гармонизи'ровали,9658,79879,79880,79881,79882
36366,imperfective,загарпунить,гарпу'нь,гарпу'ньте,гарпу'нил,гарпу'нила,гарпу'нило,гарпу'нили,9659,79883,79884,79885,79886
36391,both,,,,,,,,14250,79887,79888,79889,79890
36433,imperfective,-,гербаризи'руй,гербаризи'руйте,гербаризи'ровал,гербаризи'ровала,гербаризи'ровало,гербаризи'ровали,9660,79891,79892,79893,79894
36438,both,,германизи'руй,германизи'руйте,германизи'ровал,германизи'ровала,германизи'ровало,германизи'ровали,9661,79895,79896,79897,79898
36525,imperfective,гикнуть,ги'кай,ги'кайте,ги'кал,ги'кала,ги'кало,ги'кали,9662,79899,79900,,
36527,both,,гильотини'руй,гильотини'руйте,гильотини'ровал,гильотини'ровала,гильотини'ровало,гильотини'ровали,9663,79901,79902,79903,79904
36541,imperfective,нагипсовать,гипсу'й,гипсу'йте,гипсова'л,гипсова'ла,гипсова'ло,гипсова'ли,9664,79905,79906,79907,79908
36557,imperfective,проглаголать,глаго'ль,глаго'льте,глаго'лал,глаго'лала,глаго'лало,глаго'лали,9665,79909,79910,79911,79912
36567,both,,глазиру'й,глазиру'йте,глазирова'л,глазирова'ла,глазирова'ло,глазирова'ли,9666,79913,79914,79915,36566
36571,both,,глазуру'й,глазуру'йте,глазурова'л,глазурова'ла,глазурова'ло,глазурова'ли,9667,79916,79917,79918,79919
36592,imperfective,-,глупи',глупи'те,глупи'л,глупи'ла,глупи'ло,глупи'ли,9668,79920,79921,,
36595,imperfective,наглянцевать,глянцу'й,глянцу'йте,глянцева'л,глянцева'ла,глянцева'ло,глянцева'ли,9669,79922,79923,79924,79925
36600,imperfective,-,гнезду'йся,гнезду'йтесь,гнездова'лся,гнездова'лась,гнездова'лось,гнездова'лись,9670,79926,79927,,
36609,imperfective,сгноить,гнои',гнои'те,гнои'л,гнои'ла,гнои'ло,гнои'ли,9671,79928,79929,79930,79931
36624,imperfective,"заговеть,отговеть",гове'й,гове'йте,гове'л,гове'ла,гове'ло,гове'ли,9672,79932,79933,,
36652,imperfective,приголубить,голу'бь,голу'бьте,голу'бил,голу'била,голу'било,голу'били,9673,79934,79935,79936,79937
36674,imperfective,сгорбить,го'рби//го'рбь,го'рбите//го'рбьте,го'рбил,го'рбила,го'рбило,го'рбили,9674,79938,79939,79940,79941
36719,imperfective,-,горчи',горчи'те,горчи'л,горчи'ла,горчи'ло,горчи'ли,9675,79942,79943,,
36727,imperfective,разгорячить,горячи',горячи'те,горячи'л,горячи'ла,горячи'ло,горячи'ли,9676,79944,79945,79946,79947
36737,both,,,,,,,,14251,79948,79949,79950,28505
36744,imperfective,выгравировать,гравиру'й,гравиру'йте,гравирова'л,гравирова'ла,гравирова'ло,гравирова'ли,9677,79951,79952,79953,79954
36754,both,,градуи'руй,градуи'руйте,градуи'ровал,градуи'ровала,градуи'ровало,градуи'ровали,9678,79955,79956,79957,79958
36764,both,,гранули'руй,гранули'руйте,гранули'ровал,гранули'ровала,гранули'ровало,гранули'ровали,9679,79959,79960,79961,79962
36765,imperfective,-,гранули'руйся,гранули'руйтесь,гранули'ровался,гранули'ровалась,гранули'ровалось,гранули'ровались,9680,79963,79964,,
36769,imperfective,разграфить,,,,,,,14252,79965,79966,79967,79968
36801,imperfective,-,гриппу'й,гриппу'йте,гриппова'л,гриппова'ла,гриппова'ло,гриппова'ли,9681,79969,79970,,
36810,imperfective,нагромоздить,громозди',громозди'те,громозди'л,громозди'ла,громозди'ло,громозди'ли,9682,79971,79972,79973,
36818,imperfective,прогрохотить,грохоти',грохоти'те,грохоти'л,грохоти'ла,грохоти'ло,грохоти'ли,9683,79974,79975,79976,79977
36819,imperfective,огрубеть,грубе'й,грубе'йте,грубе'л,грубе'ла,грубе'ло,грубе'ли,9684,79978,79979,,
36820,imperfective,нагрубиянить,грубия'нь,грубия'ньте,грубия'нил,грубия'нила,грубия'нило,грубия'нили,9685,79980,79981,,
36832,imperfective,загрунтовать,грунту'й,грунту'йте,грунтова'л,грунтова'ла,грунтова'ло,грунтова'ли,9686,79982,79983,79984,79985
36833,imperfective,сгруппировать,группиру'й,группиру'йте,группирова'л,группирова'ла,группирова'ло,группирова'ли,9687,79986,79987,79988,79989
36834,imperfective,-,группиру'йся,группиру'йтесь,группирова'лся,группирова'лась,группирова'лось,группирова'лись,9688,79990,79991,,
36847,imperfective,загрязнить,грязни',грязни'те,грязни'л,грязни'ла,грязни'ло,грязни'ли,9689,79992,79993,79994,79995
36861,both,,гудрони'руй,гудрони'руйте,гудрони'ровал,гудрони'ровала,гудрони'ровало,гудрони'ровали,9690,79996,79997,79998,79999
36939,imperfective,"раздвоить;сдвои'ть",двои',двои'те,двои'л,двои'ла,двои'ло,двои'ли,9691,80000,80001,80002,80003
36975,imperfective,сдвурушничать,двуру'шничай,двуру'шничайте,двуру'шничал,двуру'шничала,двуру'шничало,двуру'шничали,9692,80004,80005,,
37020,imperfective,продебатировать,дебати'руй,дебати'руйте,дебати'ровал,дебати'ровала,дебати'ровало,дебати'ровали,9693,80006,80007,80008,80009
37022,both,,дебету'й,дебету'йте,дебетова'л,дебетова'ла,дебетова'ло,дебетова'ли,9694,80010,80011,80012,80013
37025,both,,деблоки'руй,деблоки'руйте,деблоки'ровал,деблоки'ровала,деблоки'ровало,деблоки'ровали,9695,80014,80015,80016,80017
37028,imperfective,-,дебоши'рь,дебоши'рьте,дебоши'рил,дебоши'рила,дебоши'рило,дебоши'рили,9696,80018,80019,,
37053,both,,дегази'руй,дегази'руйте,дегази'ровал,дегази'ровала,дегази'ровало,дегази'ровали,9697,80020,80021,80022,80023
37055,both,,дегенери'руй,дегенери'руйте,дегенери'ровал,дегенери'ровала,дегенери'ровало,дегенери'ровали,9698,80024,80025,,
37058,both,,дегусти'руй,дегусти'руйте,дегусти'ровал,дегусти'ровала,дегусти'ровало,дегусти'ровали,9699,80026,80027,80028,80029
37066,both,,дезавуи'руй,дезавуи'руйте,дезавуи'ровал,дезавуи'ровала,дезавуи'ровало,дезавуи'ровали,9700,80030,80031,80032,80033
37069,both,,дезинфици'руй,дезинфици'руйте,дезинфици'ровал,дезинфици'ровала,дезинфици'ровало,дезинфици'ровалои,14569,26324,80034,80035,80036
37070,both,,дезинформи'руй,дезинформи'руйте,дезинформи'ровал,дезинформи'ровала,дезинформи'ровало,дезинформи'ровали,14254,,80037,,80038
37075,both,,дезорганизу'й,дезорганизу'йте,дезорганизова'л,дезорганизова'ла,дезорганизова'ло,дезорганизова'ли,9701,,80039,,37074
37077,both,,дезориенти'руй,дезориенти'руйте,дезориенти'ровал,дезориенти'ровала,дезориенти'ровало,дезориенти'ровали,9702,80040,80041,80042,80043
37090,both,,декатиру'й,декатиру'йте,декатирова'л,декатирова'ла,декатирова'ло,декатирова'ли,9703,80044,80045,80046,80047
37093,both,,,,,,,,14261,80048,80049,,
37107,both,,декори'руй,декори'руйте,декори'ровал,декори'ровала,декори'ровало,декори'ровали,9704,80050,80051,80052,80053
37109,both,,декрети'руй,декрети'руйте,декрети'ровал,декрети'ровала,декрети'ровало,декрети'ровали,9705,80054,80055,80056,80057
